Experiment_ID,Pressure_Level,Larva_ID,Stage,IncludedFig,Panel
140722_CaI_Platynereis_M1_L1_E002,750,140722_CaI_Platynereis_M1_L1,2dpf,Yes,FS5B
150722_CaI_Platynereis_M1_L1_E002,750,150722_CaI_Platynereis_M1_L1,2dpf,Yes,F2B
150722_CaI_Platynereis_M1_L1_E005,750,150722_CaI_Platynereis_M1_L1,2dpf,No,NA
090922_CaI_Platynereis_M1_L1_E002,750,090922_CaI_Platynereis_M1_L1,2dpf,No,NA
090922_CaI_Platynereis_M1_L1_E005,750,090922_CaI_Platynereis_M1_L1,2dpf,No,NA
090922_CaI_Platynereis_M2_L1_E002,750,090922_CaI_Platynereis_M2_L1,2dpf,No,NA
090922_CaI_Platynereis_M2_L1_E005,750,090922_CaI_Platynereis_M2_L1,2dpf,Yes,FS5F
140922_CaI_Platynereis_M1_L1_E002,750,140922_CaI_Platynereis_M1_L1,2dpf,No,NA
140922_CaI_Platynereis_M1_L1_E005,750,140922_CaI_Platynereis_M1_L1,2dpf,Yes,FS5H
140922_CaI_Platynereis_M1_L1_E014,750,140922_CaI_Platynereis_M1_L1,2dpf,No,NA
150922_CaI_Platynereis_M1_L1_E002,750,150922_CaI_Platynereis_M1_L1,3dpf,No,NA
150922_CaI_Platynereis_M1_L1_E005,750,150922_CaI_Platynereis_M1_L1,3dpf,No,NA
150922_CaI_Platynereis_M1_L1_E015,750,150922_CaI_Platynereis_M1_L1,3dpf,No,NA
180922_CaI_Platynereis_M1_L1_E002,750,180922_CaI_Platynereis_M1_L1,2dpf,Yes,FS5D
180922_CaI_Platynereis_M1_L1_E005,750,180922_CaI_Platynereis_M1_L1,2dpf,No,NA
190922_CaI_Platynereis_M1_L1_E002,750,190922_CaI_Platynereis_M1_L1,2dpf,No,NA
190922_CaI_Platynereis_M1_L1_E016,750,190922_CaI_Platynereis_M1_L1,2dpf,No,NA
190922_CaI_Platynereis_M2_L1_E002,750,190922_CaI_Platynereis_M2_L1,2dpf,No,NA
190922_CaI_Platynereis_M2_L1_E005,750,190922_CaI_Platynereis_M2_L1,2dpf,No,NA
290922_CaI_Platynereis_M1_L1_E002,750,290922_CaI_Platynereis_M1_L1,2dpf,No,NA
290922_CaI_Platynereis_M1_L1_E005,750,290922_CaI_Platynereis_M1_L1,2dpf,No,NA
290922_CaI_Platynereis_M2_L1_E002,750,290922_CaI_Platynereis_M2_L1,2dpf,No,NA
290922_CaI_Platynereis_M2_L1_E005,750,290922_CaI_Platynereis_M2_L1,2dpf,No,NA
031022_CaI_Platynereis_M1_L1_E002,750,031022_CaI_Platynereis_M1_L1,2dpf,No,NA
031022_CaI_Platynereis_M1_L1_E005,750,031022_CaI_Platynereis_M1_L1,2dpf,No,NA
031022_CaI_Platynereis_M1_L1_E019,750,031022_CaI_Platynereis_M1_L1,2dpf,No,NA
031022_CaI_Platynereis_M2_L1_E002,750,031022_CaI_Platynereis_M2_L1,2dpf,No,NA
031022_CaI_Platynereis_M2_L1_E005,750,031022_CaI_Platynereis_M2_L1,2dpf,No,NA
041022_CaI_Platynereis_M1_L1_E002,750,041022_CaI_Platynereis_M1_L1,2dpf,No,NA
041022_CaI_Platynereis_M1_L1_E013,750,041022_CaI_Platynereis_M1_L1,2dpf,No,NA
041022_CaI_Platynereis_M3_L1_E002,750,041022_CaI_Platynereis_M3_L1,2dpf,No,NA
081022_CaI_Platynereis_M1_L1_E002,750,081022_CaI_Platynereis_M1_L1,2dpf,No,NA
081022_CaI_Platynereis_M2_L1_E002,750,081022_CaI_Platynereis_M2_L1,2dpf,No,NA
091022_CaI_Platynereis_M1_L1_E002,750,091022_CaI_Platynereis_M1_L1,3dpf,No,NA
091022_CaI_Platynereis_M2_L1_E002,750,091022_CaI_Platynereis_M2_L1,3dpf,No,NA
