"File_name","Body_side","Genotype","stage","Volume"
"230322_ImmID210321_AcN2Im13_L1_4","right","WT","2dpf",385.891
"230322_ImmID210321_AcN2Im13_L1_5","left","WT","2dpf",397.909
"240322_ImmID210321_AcN2Im09_L1_4","left","Cops8bD","2dpf",118.28
"240322_ImmID210321_AcN2Im09_L1_5","right","Cops8bD","2dpf",105.647
"240322_ImmID210321_AcN2Im09_L2_3","right","Cops8bD","2dpf",217.295
"240322_ImmID210321_AcN2Im09_L2_4","left","Cops8bD","2dpf",163.41
"240322_ImmID210321_AcN2Im13_L2_3","right","WT","2dpf",341.637
"240322_ImmID210321_AcN2Im13_L2_4","left","WT","2dpf",303.759
"240322_ImmID210321_AcN2Im09_L3_3","right","Cops8bD","2dpf",268.904
"240322_ImmID210321_AcN2Im09_L3_4","left","Cops8bD","2dpf",158.977
"240322_ImmID210321_AcN2Im08_L1_3","right","Cops8bD","2dpf",260.903
"240322_ImmID210321_AcN2Im08_L1_5","left","Cops8bD","2dpf",131.625
"240322_ImmID210321_AcN2Im08_L2_3","right","Cops8bD","2dpf",277.146
"240322_ImmID210321_AcN2Im08_L2_4","left","Cops8bD","2dpf",266.912
"260322_ImmID210321_AcN2Im01_3","right","Cops8bD","2dpf",336.196
"260322_ImmID210321_AcN2Im01_4","left","Cops8bD","2dpf",371.714
"260322_ImmID210321_AcN2Im02_3","right","Cops8bD","2dpf",191.397
"260322_ImmID210321_AcN2Im02_4","left","Cops8bD","2dpf",230.839
"260322_ImmID210321_AcN2Im03_3","right","WT","2dpf",NA
"260322_ImmID210321_AcN2Im03_4","left","WT","2dpf",372.012
"260322_ImmID210321_AcN2Im04_3","right","WT","2dpf",310.357
"260322_ImmID210321_AcN2Im04_4","left","WT","2dpf",250.073
"260322_ImmID210321_AcN2Im05_3","right","Cops8bD","2dpf",290.874
"260322_ImmID210321_AcN2Im05_4","left","Cops8bD","2dpf",NA
"270322_ImmID210321_AcN2Im06_3","right","Cops8bD","2dpf",354.798
"270322_ImmID210321_AcN2Im06_4","left","Cops8bD","2dpf",227.621
"270322_ImmID210321_AcN2Im07_3","right","Cops8bD","2dpf",371.17
"270322_ImmID210321_AcN2Im07_4","left","Cops8bD","2dpf",273.321
"270322_ImmID210321_AcN2Im08_L3_3","right","Cops8bD","2dpf",290.806
"270322_ImmID210321_AcN2Im08_L3_4","left","Cops8bD","2dpf",NA
"110422_ImmID210321_AcN2Im13_L3_3","right","WT","2dpf",255.34
"110422_ImmID210321_AcN2Im13_L3_4","left","WT","2dpf",215.126
"260422_ImmID240422_AcN2Im01_3-2","right","Cops8bD","2dpf",90.041
"260422_ImmID240422_AcN2Im01_4","left","Cops8bD","2dpf",203.222
"260422_ImmID240422_AcN2Im03_3","right","Cops8bD","2dpf",279.088
"260422_ImmID240422_AcN2Im03_4","left","Cops8bD","2dpf",345.541
"270422_ImmID240422_AcN2Im08_L1_3","right","Cops8bD","2dpf",239.385
"270422_ImmID240422_AcN2Im08_L1_4","left","Cops8bD","2dpf",402.273
"270422_ImmID240422_AcN2Im09_L1_3","right","WT","2dpf",416.926
"270422_ImmID240422_AcN2Im09_L1_4","left","WT","2dpf",334.768
"270422_ImmID240422_AcN2Im04_L1_3","right","Cops8bD","2dpf",281.48
"270422_ImmID240422_AcN2Im04_L1_4","left","Cops8bD","2dpf",276.585
"270422_ImmID240422_AcN2Im05_L1_3","right","WT","2dpf",286.383
"270422_ImmID240422_AcN2Im05_L1_4","left","WT","2dpf",362.24
"231022_ImmID211022_AcN2S_1_L1_5","right","Cops8bD","2dpf",250.854
"231022_ImmID211022_AcN2S_1_L1_4","left","Cops8bD","2dpf",321.177
"231022_ImmID211022_AcN2S_3_L1_3","right","WT","2dpf",439.147
"231022_ImmID211022_AcN2S_3_L1_4","left","WT","2dpf",596.472
"241022_ImmID211022_AcN2S_1_L1_3","right","Cops8bD","2dpf",225.709
"241022_ImmID211022_AcN2S_1_L1_5","left","Cops8bD","2dpf",94.922
"241022_ImmID211022_AcN2S_3_L1_3","right","WT","2dpf",251.335
"241022_ImmID211022_AcN2S_3_L1_4","left","WT","2dpf",426.83
"251022_ImmID211022_AcN2S_1_L1_3","right","Cops8bD","2dpf",353.703
"251022_ImmID211022_AcN2S_1_L1_4","left","Cops8bD","2dpf",269.438
"251022_ImmID211022_AcN2S_3_L1_3","right","WT","2dpf",457.045
"251022_ImmID211022_AcN2S_3_L1_4","left","WT","2dpf",253.885
"271022_ImmID211022_AcN2S_4_L1_3","right","WT","3dpf",0
"271022_ImmID211022_AcN2S_4_L1_4","left","WT","3dpf",531.346
"281022_ImmID211022_AcN2S_1_L1_3","right","Cops8bD","2dpf",358.641
"281022_ImmID211022_AcN2S_1_L1_4","left","Cops8bD","2dpf",504.515
